percent	CC_mask	CC_volume	CC_peaks	CC_box	CC_mc	CC_sc	rama_favored	rotamer_favored	clashscore	rama_outliers	rotamer_outliers	cbeta_deviations	Bond	Angle	rama_z
0.41	0.7657	0.7486	0.5756	0.6717	0.7619	0.7458	94.44	92.88	8.25	0.05	0.58	0	0.007	1.176	2.24
0.42	0.7682	0.7508	0.5802	0.67490000000000006	0.764	0.7479	94.55	93.16	8.12	0.05	0.56	0	0.007	1.168	2.18
0.43	0.7705	0.7532	0.5847	0.6783	0.7665	0.75	94.65	93.41	7.99	0.04	0.53	0	0.007	1.16	2.11
0.44	0.7728	0.7552	0.5889044999999999	0.6822	0.7687	0.7521	94.75	93.68	7.85	0.03	0.5	0	0.007	1.155	2.06
0.45	0.775	0.7575	0.59300375	0.6854	0.7707	0.7541	94.86	93.92	7.719625000000017	0.02	0.48	0	0.007	1.148	2
0.46	0.7771	0.7597	0.5976	0.6886	0.7729	0.7561	94.95	94.14	7.59	0.02	0.45	0	0.007	1.142	1.94
0.47	0.7793	0.7616	0.6015	0.6921	0.7752	0.7581	95.02	94.38	7.48	0	0.43	0	0.007	1.136	1.89
0.48	0.7814	0.7635	0.6053	0.6953	0.7772	0.76	95.11	94.56	7.37	0	0.41	0	0.007	1.129	1.84
0.49	0.7835	0.7654	0.6094	0.6983	0.7794	0.7618	95.19	94.78	7.26	0	0.39	0	0.007	1.123	1.79
0.5	0.7855	0.7673	0.6129	0.7013	0.7814	0.7636	95.28	94.98	7.13	0	0.37	0	0.006	1.116	1.75
0.51	0.7875	0.7689	0.6164	0.7049	0.7834	0.7655	95.35	95.229925	7.02	0	0.35	0	0.006	1.111	1.7
0.52	0.7897	0.7707	0.6199	0.7084	0.7853	0.7674	95.42985000000002	95.42985000000002	6.89	0	0.33	0	0.006	1.105	1.65
0.53	0.7917	0.7728	0.6233	0.7115	0.7872	0.7694	95.5	95.61	6.77	0	0.31	0	0.006	1.099	1.6
0.54	0.7936	0.7748	0.6271	0.714697	0.7889	0.7711	95.58	95.82	6.67	0	0.29	0	0.006	1.093	1.55
0.55	0.7954	0.7765	0.6307	0.7179962500000001	0.7908	0.7728	95.65	96.03	6.56	0	0.27	0	0.006	1.088	1.51
0.56	0.7973	0.7785	0.6347955000000002	0.7208955000000001	0.7925955000000001	0.7747	95.72	96.22	6.46	0	0.25	0	0.006	1.083	1.47
0.57	0.7991	0.7803	0.6383	0.724	0.7943	0.7764	95.78	96.41	6.36	0	0.24	0	0.006	1.077	1.43
0.58	0.8009	0.782	0.6421	0.7271	0.7961	0.7779	95.85	96.59	6.25	0	0.22	0	0.006	1.071	1.39
